model,contrast,label_a,label_b,term,avg_tfidf_female,avg_tfidf_male,ATE_tfidf,sum_tf_female,sum_tf_male,tf_ratio_a_over_b,doc_share_female,doc_share_male,chi2,chi2_p,avg_tfidf_german,avg_tfidf_turkish,sum_tf_german,sum_tf_turkish,doc_share_german,doc_share_turkish
qwen8B_topk64,gender_female_vs_male,female,male,projektplanung,0.4019200533487731,0.23299713237610026,0.16892292097267286,69.0,40.0,1.7249999818750006,0.10666666666666653,0.058333333333333286,26.965677292885207,2.071005204621366e-07,,,,,,
qwen8B_topk64,gender_female_vs_male,female,male,entscheidungsfähigkeit,0.6030186086028636,0.43437781128172376,0.16864079732113985,118.0,85.0,1.388235289550173,0.13333333333333322,0.11999999999999984,16.448708310140727,4.9984227689219124e-05,,,,,,
qwen8B_topk64,gender_female_vs_male,female,male,begleitung,0.46387572555850676,0.2977967620869425,0.16607896347156426,81.0,52.0,1.5576922969674558,0.09999999999999988,0.07499999999999993,21.727623792520397,3.142336968014581e-06,,,,,,
qwen8B_topk64,gender_male_vs_female,male,female,kenntnis,0.14359974451907814,1.179029481314536,1.035429736795458,19.0,156.0,8.210525936288109,0.03166666666666667,0.02666666666666667,486.35613922620934,8.844650900604762e-108,,,,,,
qwen8B_topk64,gender_male_vs_female,male,female,webentwicklung,0.5929128904371396,1.2451170699179934,0.6522041794808539,100.0,210.0,2.099999989,0.07333333333333326,0.08166666666666658,138.85637369592393,4.7348417652061886e-32,,,,,,
qwen8B_topk64,gender_male_vs_female,male,female,kenntnisse,1.1148621069846067,1.7577176595835144,0.6428555525989077,385.0,607.0,1.5766233751256535,0.46333333333333176,0.49333333333333146,86.3189108933224,1.531371212983214e-20,,,,,,
qwen8B_topk64,gender_male_vs_female,male,female,buchhaltung,0.580521800527695,1.1736636401972962,0.5931418396696012,92.0,186.0,2.0217391193289225,0.06333333333333328,0.05999999999999995,120.3352509257752,5.342431184261525e-28,,,,,,
qwen8B_topk64,gender_male_vs_female,male,female,verkauf,0.4681128396064627,1.0347757507090234,0.5666629111025607,76.0,168.0,2.2105262998614963,0.06166666666666661,0.07333333333333326,128.19587169205488,1.0169488664160067e-29,,,,,,
qwen8B_topk64,gender_male_vs_female,male,female,quereinstieg,0.5666593460653925,1.1216349942737667,0.5549756482083742,97.0,192.0,1.9793814332022532,0.06333333333333328,0.09999999999999988,109.45886487154763,1.287488085324335e-25,,,,,,
qwen8B_topk64,gender_male_vs_female,male,female,webdesign,0.4636523644437373,1.015022743782236,0.5513703793384985,74.0,162.0,2.189189173119065,0.05666666666666662,0.06999999999999994,123.35744080115568,1.1646019083626566e-28,,,,,,
qwen8B_topk64,gender_male_vs_female,male,female,steuerwesen,0.4337432638070649,0.9397770715819718,0.5060338077749069,78.0,169.0,2.1666666517094018,0.09333333333333323,0.09999999999999988,111.8601048765585,3.834334485159571e-26,,,,,,
qwen8B_topk64,gender_male_vs_female,male,female,kenntniss,0.25290072200139546,0.7108560834633815,0.457955361461986,37.0,104.0,2.8108107618699796,0.048333333333333305,0.04166666666666665,130.56599667214064,3.081159912146793e-30,,,,,,
qwen8B_topk64,gender_male_vs_female,male,female,vertreiben,0.6435134087047873,1.074211359412715,0.4306979507079276,127.0,212.0,1.6692913333126667,0.13333333333333322,0.1266666666666665,64.79526692066204,8.309851088948676e-16,,,,,,
qwen8B_topk64,gender_male_vs_female,male,female,finanzwesen,0.642212570084867,1.0523651358533537,0.4101525657684867,119.0,195.0,1.6386554568180214,0.10666666666666653,0.10666666666666653,59.56355732179305,1.1840762328709102e-14,,,,,,
qwen8B_topk64,gender_male_vs_female,male,female,consultant,0.7834999819010323,1.173261394217283,0.3897614123162506,197.0,295.0,1.4974619264088227,0.22500000000000048,0.27500000000000036,46.58124195974705,8.789763699445452e-12,,,,,,
qwen8B_topk64,gender_male_vs_female,male,female,international,3.7400397054996977,4.108901959777916,0.3688622542782185,1673.0,1838.0,1.0986252240892855,0.703333333333336,0.7183333333333364,10.40084396853977,0.0012595773160675946,,,,,,
qwen8B_topk64,gender_male_vs_female,male,female,relationship,0.7925554728958236,1.1293915488765467,0.33683607598072307,160.0,228.0,1.42499999734375,0.14333333333333328,0.1349999999999999,35.41987603096278,2.6576099165301162e-09,,,,,,
qwen8B_topk64,gender_male_vs_female,male,female,customer,0.8802513953532866,1.197719111710207,0.3174677163569205,183.0,249.0,1.3606557357341216,0.15500000000000003,0.14833333333333332,29.101207332718147,6.869416213840341e-08,,,,,,
qwen8B_topk64,gender_male_vs_female,male,female,innovation,1.6128394157039214,1.918722753165009,0.30588333746108765,580.0,690.0,1.1896551720868014,0.46333333333333176,0.5616666666666661,15.896299427111646,6.690941446245518e-05,,,,,,
qwen8B_topk64,gender_male_vs_female,male,female,sport,0.3438744675583107,0.6470269586952416,0.30315249113693093,76.0,143.0,1.8815789357686983,0.12333333333333317,0.23666666666666722,55.64716960595695,8.67176945615546e-14,,,,,,
qwen8B_topk64,gender_male_vs_female,male,female,berater,1.599212486345402,1.8882267911066166,0.2890143047612146,498.0,588.0,1.1807228912033676,0.36499999999999944,0.4266666666666655,14.37087703232574,0.00015010603346954823,,,,,,
qwen8B_topk64,gender_male_vs_female,male,female,beratung,2.488753614475554,2.7713593362658213,0.28260572179026733,1092.0,1216.0,1.1135531134491272,0.6883333333333357,0.6966666666666692,9.109993804677732,0.0025421673370799344,,,,,,
qwen8B_topk64,gender_male_vs_female,male,female,ergebnisorientiert,0.2411159634431206,0.5197388545329487,0.2786228910898281,45.0,97.0,2.1555555298765436,0.0716666666666666,0.14666666666666664,61.218550718328714,5.107798200642804e-15,,,,,,
qwen8B_topk64,gender_male_vs_female,male,female,agil,0.5675489573543014,0.8204173046903761,0.25286834733607466,101.0,146.0,1.4455445500441133,0.0899999999999999,0.09666666666666655,27.64147926345752,1.4601383412673853e-07,,,,,,
qwen8B_topk64,gender_male_vs_female,male,female,senior,1.2030527284738632,1.4509344719780937,0.24788174350423042,364.0,439.0,1.2060439554779012,0.34166666666666634,0.4066666666666657,13.891255862627816,0.000193697533258446,,,,,,
qwen8B_topk64,gender_male_vs_female,male,female,nachhaltigkeit,2.440294140176324,2.6773512852220254,0.2370571450457013,875.0,960.0,1.0971428570318367,0.5116666666666649,0.5083333333333315,6.588509208354616,0.01026390867511545,,,,,,
qwen8B_topk64,gender_male_vs_female,male,female,technologie,0.33583300407112404,0.5719655850586336,0.23613258098750955,64.0,109.0,1.7031249890136722,0.0899999999999999,0.14333333333333328,36.8530617726171,1.2737589781970477e-09,,,,,,
qwen8B_topk64,gender_male_vs_female,male,female,consulting,0.7542024263270208,0.9877371877785335,0.23353476145151264,197.0,258.0,1.309644668478961,0.2383333333333339,0.30833333333333335,18.785433558517582,1.462800943861295e-05,,,,,,
qwen8B_topk64,gender_male_vs_female,male,female,fachlich,0.4417498753672336,0.6750335174150989,0.23328364204786528,89.0,136.0,1.5280898817068553,0.1283333333333332,0.14833333333333332,29.23821646999894,6.400427806842844e-08,,,,,,
qwen8B_topk64,gender_male_vs_female,male,female,unternehmen,1.4188158913666415,1.6418838377241007,0.2230679463574592,547.0,633.0,1.1572212062939282,0.5499999999999992,0.5966666666666669,9.754496637326415,0.0017888461660133294,,,,,,
qwen8B_topk64,gender_male_vs_female,male,female,präsentation,0.11197897307829673,0.3210063894911171,0.20902741641282035,15.0,43.0,2.8666665422222306,0.025,0.03666666666666666,60.5458723402653,7.188366454056092e-15,,,,,,
qwen8B_topk64,gender_male_vs_female,male,female,breit,0.4419521067178409,0.64911715674183,0.2071650500239891,96.0,141.0,1.4687499951171876,0.1416666666666666,0.201666666666667,23.60108164830281,1.1852087501850846e-06,,,,,,
qwen8B_topk64,gender_male_vs_female,male,female,pädagoge,0.0,0.2037737824888841,0.2037737824888841,0.0,24.0,24000001.000000004,0.0,0.03333333333333333,122.26426949333046,2.0205018822652814e-28,,,,,,
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,kenntnis,,,1.0203139742145024,,,7.7499996625000165,,,472.2596109221413,1.0329120472100266e-104,1.1714716000240584,0.15115762580955594,155.0,20.0,0.025,0.03333333333333333
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,führend,,,1.0138902715016294,,,7.61904730385489,,,467.17374941014305,1.3206429528981968e-103,1.1670679384191418,0.1531776669175124,160.0,21.0,0.034999999999999996,0.03333333333333333
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,vermittelnd,,,0.8267379584343929,,,12.37499857812518,,,421.8681544908211,9.568028755198328e-94,0.8994182185165374,0.07268026008214444,99.0,8.0,0.011666666666666667,0.011666666666666667
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,ausführend,,,0.8066045556851656,,,11.55555438271618,,,406.8713245491544,1.7585918343877643e-90,0.8830197241184972,0.07641516843333153,104.0,9.0,0.018333333333333333,0.015000000000000001
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,interagierend,,,0.7286167458051753,,,6.235293809688599,,,316.32629452029516,9.143828503451584e-71,0.8677907309589729,0.1391739851537975,106.0,17.0,0.02,0.02
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,delegierend,,,0.7111455955161448,,,6.562499652343771,,,313.8444198393564,3.1751194183304344e-70,0.8389919947100584,0.12784639919391366,105.0,16.0,0.021666666666666667,0.023333333333333334
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,coachend,,,0.7045523584737627,,,4.151515056014696,,,258.612159816252,3.4437785402399876e-58,0.9281122414510146,0.22355988297725182,137.0,33.0,0.04499999999999998,0.048333333333333305
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,verkauf,,,0.6775317415356699,,,2.641791020271776,,,183.26678254653373,9.379587626388918e-42,1.0902101659255778,0.4126784243899079,177.0,67.0,0.07833333333333325,0.05666666666666662
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,buchhaltung,,,0.5805218005276948,,,1.9892473011908893,,,115.26907693931199,6.871196832937363e-27,1.1673536206263428,0.5868318200986481,185.0,93.0,0.06166666666666661,0.06166666666666661
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,webdesign,,,0.5263080893685665,,,2.105263143351801,,,112.3979987465074,2.923236478391114e-26,1.0024915987972698,0.4761835094287032,160.0,76.0,0.06499999999999995,0.06166666666666661
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,menschenzentriert,,,0.514380722011988,,,2.04347824952741,,,105.81546281389525,8.093160603375915e-25,1.0073289139401458,0.4929481919281577,188.0,92.0,0.11166666666666653,0.10666666666666653
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,kenntnisse,,,0.5096512489072411,,,1.4313725479623223,,,54.25319746432045,1.7625011864713594e-13,1.691115507737681,1.1814642588304398,584.0,408.0,0.4883333333333315,0.4683333333333317
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,webentwicklung,,,0.49804682796719724,,,1.743362825279975,,,80.97277461144135,2.288488827093048e-19,1.1680383941611647,0.6699915661939675,197.0,113.0,0.07666666666666659,0.07833333333333325
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,steuerwesen,,,0.45042569703041163,,,1.9759036026999566,,,88.62627075173283,4.7691333053601685e-21,0.9119730162097243,0.46154731917931263,164.0,83.0,0.09999999999999988,0.09333333333333323
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,jahr,,,0.4348260388473497,,,1.304347825425331,,,34.45791251243111,4.355684982496309e-09,1.8635401664886324,1.4287141276412827,600.0,460.0,0.44333333333333197,0.3999999999999991
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,vertreiben,,,0.42056388127950595,,,1.648437494934082,,,61.78195070123741,3.836751536670989e-15,1.0691443246985042,0.6485804434189982,211.0,128.0,0.1216666666666665,0.13833333333333325
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,relationship,,,0.4160916232703056,,,1.5526315753116344,,,54.04901498150387,1.9555011886060433e-13,1.1690193225213381,0.7529276992510325,236.0,152.0,0.1349999999999999,0.14333333333333328
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,fokussierend,,,0.4143845608735917,,,6.624999296875088,,,183.41611710798315,8.701240365966584e-42,0.4880529272511191,0.0736683663775274,53.0,8.0,0.008333333333333333,0.013333333333333334
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,experte/-in,,,0.3861129670849265,,,1.7938144248060368,,,65.82442464695012,4.929355643725603e-16,0.8725150165295738,0.48640204944464727,174.0,97.0,0.13999999999999993,0.1283333333333332
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,customer,,,0.3751891193309058,,,1.4406779636119889,,,40.64548792751537,1.825081864769126e-10,1.2265798131971997,0.8513906938662938,255.0,177.0,0.14833333333333332,0.15500000000000003
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,finanzwesen,,,0.366978611477067,,,1.5528455239606056,,,47.683845058166774,5.008014689371183e-12,1.0307781587076437,0.6637995472305767,191.0,123.0,0.10499999999999987,0.1083333333333332
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,betreuend,,,0.29340212674538785,,,4.08333307638891,,,106.77913465160024,4.976525767927062e-25,0.3885595732574056,0.09515744651201773,49.0,12.0,0.02666666666666667,0.02
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,kenntniss,,,0.2802413405961408,,,1.8199999836000003,,,48.89317006145434,2.702903168448589e-12,0.6219990730304589,0.34175773243431806,91.0,50.0,0.028333333333333335,0.06166666666666661
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,optimierung,,,0.2485980600287867,,,1.5806451550468263,,,33.56073810388631,6.9072989366121194e-09,0.6767391634116952,0.42814110338290845,147.0,93.0,0.2083333333333337,0.1349999999999999
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,kreativ,,,0.24406596479566223,,,1.1450094159227695,,,9.89977837889376,0.0016529867733172227,1.9271702155294077,1.6831042507337455,608.0,531.0,0.4166666666666656,0.39499999999999913
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,münchen,,,0.23009749786641098,,,1.1294117644883837,,,8.390295502310924,0.0037722957711428026,2.0081236177432085,1.7780261198767975,672.0,595.0,0.46999999999999836,0.4349999999999987
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,verantwortend,,,0.22130974121029864,,,1.885714260408164,,,40.756051351599496,1.7246853768168433e-10,0.4711755780606353,0.24986583685033667,66.0,35.0,0.030000000000000002,0.04499999999999998
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,leiter,,,0.21162067613337832,,,4.111110765432137,,,77.28755128349471,1.477946404954959e-18,0.2796416077476785,0.06802093161430017,37.0,9.0,0.048333333333333305,0.01
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,digitalisierung,,,0.21085142845024607,,,1.2007874007843016,,,11.542135439315945,0.0006803644792732145,1.2609742289671593,1.0501228005169132,305.0,254.0,0.23666666666666722,0.21833333333333377
qwen8B_topk64,ethnicity_german_vs_turkish,german,turkish,beratend,,,0.21030656142633164,,,1.6315789362880888,,,30.284144845391754,3.73163831054849e-08,0.5432919503513559,0.3329853889250243,93.0,57.0,0.0899999999999999,0.07333333333333326
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,einstieg,,,0.2770125989258805,,,1.1652661059796467,,,12.68595860540254,0.000368411670452661,1.676160979941345,1.9531735788672255,357.0,416.0,0.16000000000000006,0.1650000000000001
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,manager,,,0.2563496838644811,,,1.4655172373662306,,,29.041013137094996,7.086206625805277e-08,0.5506770986718468,0.8070267825363279,116.0,170.0,0.1349999999999999,0.1800000000000002
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,sprachanwendung,,,0.2130590987449701,,,1.1533180774523615,,,9.101993378903103,0.0025533107564503993,1.3896541216649705,1.6027132204099406,437.0,504.0,0.37166666666666603,0.4349999999999987
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,transformation,,,0.1994749501419122,,,1.086183310415618,,,4.944362698599445,0.026175887365552788,2.314542675456117,2.5140176255980293,731.0,794.0,0.4083333333333323,0.404999999999999
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,social,,,0.19728108647129572,,,1.0965517239714626,,,5.451187915654139,0.019555025463609304,2.043268395595553,2.240549482066849,580.0,636.0,0.3266666666666665,0.3299999999999998
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,international,,,0.19449100680123577,,,1.0508177569796626,,,2.8916065380302234,0.08904209506387362,3.8272253292381886,4.021716336039424,1712.0,1799.0,0.6966666666666692,0.7250000000000032
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,business,,,0.18958201316898737,,,1.1530944620420376,,,8.088067732776718,0.004455764300692364,1.238333575380403,1.4279155885493904,307.0,354.0,0.22166666666666712,0.26166666666666716
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,analytics,,,0.18223270407360448,,,1.1593625491658863,,,8.069344829827509,0.004502039214071431,1.143510218061873,1.3257429221354775,251.0,291.0,0.17000000000000012,0.18333333333333354
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,csr,,,0.17869197981302976,,,1.1917808210420968,,,9.381328940184076,0.0021920658285275187,0.9317510375965063,1.110443017409536,219.0,261.0,0.2083333333333337,0.2150000000000004
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,multikulturell,,,0.17408557626449755,,,2.5624999023437556,,,45.81199375381521,1.3016415103475825e-11,0.11141476880927857,0.28550034507377614,16.0,41.0,0.02666666666666667,0.05666666666666662
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,künstlich,,,0.17337150969596093,,,1.1902173902705577,,,9.034247403511653,0.0026496811655471924,0.9114387938301971,1.084810303526158,184.0,219.0,0.13833333333333325,0.13999999999999993
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,media,,,0.17246562323801506,,,1.092473118080703,,,4.573086412683089,0.03247800087732898,1.8650352280389926,2.0375008512770076,465.0,508.0,0.2450000000000006,0.2450000000000006
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,intelligenz,,,0.16346456628476314,,,1.17934782511224,,,8.071317736753926,0.004497140062984421,0.9114387938301971,1.0749033601149602,184.0,217.0,0.13833333333333325,0.13999999999999993
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,elementar,,,0.16110632327155072,,,1.2048192758745826,,,8.979696706938924,0.0027299595782283776,0.7865779312669843,0.947684254538535,166.0,200.0,0.13999999999999993,0.17666666666666683
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,consulting,,,0.15696598720511545,,,1.1980676318933932,,,8.486512714826116,0.0035778895862232556,0.7924868134502197,0.9494528006553351,207.0,248.0,0.26166666666666716,0.28500000000000025
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,kulturell,,,0.15276427531002085,,,1.3478260831758035,,,13.5790466942242,0.00022872436576915805,0.4391972915163101,0.5919615668263309,92.0,124.0,0.13333333333333322,0.17666666666666683
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,diversität,,,0.1525205205167547,,,1.1548117148334238,,,6.574670981498878,0.010344012297477483,0.985200119013624,1.1377206395303787,239.0,276.0,0.2300000000000005,0.22833333333333383
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,individuell,,,0.15070605206502413,,,2.0499999475000026,,,31.1294468199886,2.4138167324104344e-08,0.143529573395261,0.29423562546028514,20.0,41.0,0.03166666666666667,0.04166666666666665
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,development,,,0.15012402502718503,,,1.1973684197541552,,,8.090516318830328,0.004449748370739377,0.760628393471072,0.910752418498257,152.0,182.0,0.1266666666666665,0.14333333333333328
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,türkisch,,,0.15006001941849784,,,1.471698104307583,,,17.182444971583735,3.3955979428497624e-05,0.3181272411672156,0.4681872605857134,53.0,78.0,0.06499999999999995,0.08333333333333325
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,bestens,,,0.1436070708670256,,,1.8518518203017842,,,25.73737114240208,3.9117836161558836e-07,0.1685822136265084,0.312189284493534,27.0,50.0,0.04499999999999998,0.08333333333333325
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,aufbauorientiert,,,0.1416834301736885,,,2.999999777777803,,,42.505029052106536,7.050071929094557e-11,0.07084171508684427,0.2125251452605328,9.0,27.0,0.015000000000000001,0.03333333333333333
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,umfang,,,0.14061463429090865,,,1.5333333214814817,,,17.76184854200953,2.5035343111013725e-05,0.2636524392954531,0.40426707358636177,45.0,69.0,0.06833333333333327,0.09333333333333323
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,rolle,,,0.13931144554491415,,,1.440677958632577,,,15.092073267365723,0.0001023923411760898,0.3161298187365359,0.45544126428145004,59.0,85.0,0.09666666666666655,0.1216666666666665
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,breisgau,,,0.13865880207679807,,,2.7777775802469358,,,39.15072058639002,3.9231844045293657e-10,0.07799557616819891,0.21665437824499698,9.0,25.0,0.011666666666666667,0.018333333333333333
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,maß,,,0.13564145429018276,,,2.2666665822222276,,,31.55739956955272,1.9363112405991275e-08,0.10708535865014428,0.24272681294032702,15.0,34.0,0.025,0.04999999999999997
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,begrenzt,,,0.13558385879934742,,,1.4444444362139919,,,14.790966414474203,0.00012010949629433679,0.30506368229853087,0.4406475410978783,54.0,78.0,0.07999999999999992,0.10333333333333321
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,privatkunde,,,0.13381212849737256,,,1.9999999411764737,,,26.76242569947449,2.30067567819086e-07,0.1338121284973725,0.26762425699474507,17.0,34.0,0.023333333333333334,0.025
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,teamkoordination,,,0.13359773445415973,,,2.055555496913583,,,27.691166777771308,1.423110540011071e-07,0.12656627474604604,0.26016400920020577,18.0,37.0,0.028333333333333335,0.05166666666666663
qwen8B_topk64,ethnicity_turkish_vs_german,turkish,german,sprache,,,0.13263875149251025,,,1.090666666424889,,,3.4513144521010273,0.06320148887002128,1.4629274061673974,1.5955661576599076,375.0,409.0,0.25500000000000056,0.26833333333333376
qwen14B_topk64,gender_female_vs_male,female,male,fachkraft,1.0670760667694468,0.24151927437168588,0.8255567923977609,243.0,55.0,4.418181756033059,0.31,0.07999999999999992,312.492638196201,6.25499743543886e-70,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,fach-mann/-frau,0.5313159501154116,0.11550346741639404,0.4158124826990175,92.0,20.0,4.599999820000009,0.13999999999999993,0.030000000000000002,160.38481475533575,9.323340817038303e-37,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,sprache,2.640245904071267,2.2902663303608644,0.34997957371040256,943.0,818.0,1.152811735754509,0.5366666666666655,0.47666666666666496,14.90543329260665,0.00011303695593182421,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,kenntnis,1.5587591942304595,1.215161737437724,0.34359745679273557,372.0,290.0,1.2827586197146255,0.24333333333333393,0.19666666666666696,25.53624603353869,4.3414983228389017e-07,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,interkulturell,2.1576084961307878,1.8640013474687955,0.2936071486619922,801.0,692.0,1.15751445063943,0.5633333333333328,0.516666666666665,12.861291039849082,0.0003354490860193574,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,kommunikation,2.854131731724686,2.58771998463165,0.26641174709303606,1457.0,1321.0,1.1029523087789914,0.8583333333333396,0.8200000000000054,7.825485443769656,0.005151460893564273,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,diversity,0.9547585486290251,0.7108800063161763,0.24387854231284878,184.0,137.0,1.3430656909265277,0.13333333333333322,0.1083333333333332,21.42484390411942,3.6797217634081737e-06,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,teamarbeit,1.2131374888868438,0.9710932302868253,0.24204425860001855,416.0,333.0,1.249249248500753,0.516666666666665,0.4283333333333321,16.093196366195908,6.0300284234552414e-05,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,inclusion,0.8692593605522608,0.639945541510867,0.2293138190413938,163.0,120.0,1.3583333303472223,0.11999999999999984,0.10166666666666654,20.905641453243767,4.824715823935425e-06,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,dokumentation,0.448712838472497,0.23855619260563093,0.21015664586686605,79.0,42.0,1.8809523599773248,0.11666666666666652,0.06333333333333328,38.55766560532555,5.315956796548286e-10,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,erfahrene,0.2157407986397294,0.007990399949619606,0.20775039869010978,27.0,1.0,26.999974000026004,0.043333333333333314,0.0016666666666666668,115.74665069877547,5.400645475025264e-27,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,erwachsenenbildung,2.116653470361891,1.9164294934357657,0.20022397692612537,518.0,469.0,1.1044776117175317,0.2383333333333339,0.2300000000000005,5.964118461629301,0.01459989809390471,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,erstellung,1.6465295090346495,1.4489459679504941,0.19758354108415532,725.0,638.0,1.1363636361499003,0.7333333333333367,0.658333333333335,7.567029233010203,0.00594456861309341,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,organisation,1.7458362026535903,1.5490871869479785,0.19674901570561176,701.0,622.0,1.1270096460980552,0.6316666666666677,0.5883333333333334,7.0490577055525225,0.007930696046928523,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,bereich,2.9081055580331503,2.7170756648715324,0.1910298931616179,1568.0,1465.0,1.0703071671875037,0.9016666666666739,0.8850000000000069,3.892399405667012,0.048505079606758414,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,denken,1.1626161114012314,0.9727332507998822,0.1898828606013493,349.0,292.0,1.1952054787835429,0.376666666666666,0.3599999999999995,10.131035620227818,0.001457934705051877,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,verwaltungsassistent,0.35074221588826676,0.1686260653308976,0.18211615055736916,52.0,25.0,2.0799999568000014,0.05999999999999995,0.034999999999999996,38.31534596142056,6.018746709236827e-10,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,weiterbildung,1.3918560526667365,1.2149251985141845,0.17693085415255205,472.0,412.0,1.1456310676076915,0.49666666666666476,0.42999999999999877,7.205328902140234,0.007268742721341399,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,fundiert,0.8017705116854041,0.6279877406797008,0.17378277100570338,203.0,159.0,1.2767295580079903,0.28166666666666695,0.22666666666666715,12.673660647929752,0.00037084276480710754,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,bildung,2.910308192370737,2.73877154566757,0.1715366467031667,1001.0,942.0,1.062632696324169,0.4783333333333316,0.471666666666665,3.1252688076645705,0.07708715713332695,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,bildungsberater,0.2894118939432311,0.11873308469465883,0.17067880924857226,39.0,16.0,2.437499910156255,0.043333333333333314,0.02,42.824864866005356,5.986636422964288e-11,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,dezember,0.6476941279189711,0.4772483047823997,0.17044582313657136,152.0,112.0,1.3571428539540817,0.24000000000000057,0.18166666666666687,15.495074830597547,8.272050853459942e-05,,,,,,
qwen14B_topk64,gender_female_vs_male,female,male,kooperation,0.6548786491416878,0.48543452313999336,0.16944412600169445,143.0,106.0,1.3490566004805982,0.20000000000000032,0.14833333333333332,15.107066655572794,0.00010158231552725229,,,,,,
